id,nom,prenom,adresse,date_naissance,genre,mail,numero_telephone
1,Marques,Bertrand,"758, avenue de Guillot07440 Boulay",1915-12-06,F,lletellier@example.com,+33 (0)4 27 88 66 64
2,Delannoy,Dorothée,"75, rue Nicole Brunel17989 Fernandez",1913-12-07,M,patricknguyen@example.com,+33 2 50 67 25 31
3,Hebert,Martin,rue Descamps38593 Le Roux-sur-Mer,1912-11-19,F,simone04@example.net,0329478676
4,Delattre,Sébastien,"45, rue de Blanchard53193 Turpin",1915-02-08,F,renaudedith@example.net,+33 (0)1 73 48 59 61
5,Lebrun,Théodore,"84, rue Lucy Pages37466 Cordier-la-Forêt",1917-01-29,F,lecomteroger@example.org,02 31 17 07 51
6,Gillet,Diane,"884, avenue Daniel26478 Lagarde-la-Forêt",1913-02-23,M,kmathieu@example.net,+33 3 39 90 25 38
7,Legendre,Patricia,"65, chemin Franck Parent20668 Hoarauboeuf",1910-03-19,M,richard50@example.net,0497950272
8,Lejeune,Alexandre,chemin de Gilles86776 Lambert,1924-02-04,M,honorerenault@example.net,+33 (0)4 91 78 74 14
9,Roche,Éléonore,"9, boulevard André Vallée25118 Saint Benjamindan",1923-05-29,M,guilloualphonse@example.com,0355622320
10,Maillard,Aurore,"1, chemin Guillet47588 Sainte Zoédan",1920-01-25,F,michelleblanchard@example.org,04 91 15 72 70
11,Perret,Raymond,"74, rue Martin23262 Auger-sur-Mahe",1927-10-11,F,llagarde@example.com,+33 2 50 78 15 88
12,Gilbert,Joseph,"3, avenue de Potier80228 Ledoux-sur-Pichon",1929-02-26,M,eleonore52@example.org,+33 (0)2 41 22 40 32
13,Caron,Eugène,"429, rue Adèle Nicolas46431 Sainte Lucboeuf",1926-08-24,F,denisjulien@example.com,+33 1 53 39 76 91
14,Gillet,Étienne,chemin de Pons81844 Coulon-sur-Jacquot,1924-11-13,M,valentinebenard@example.com,0582522470
15,Hamel,Josette,"14, chemin Suzanne Valentin45701 MercierVille",1930-09-19,F,ydevaux@example.org,+33 2 34 73 93 14
16,Marie,Claire,"6, chemin Guillaume54498 Sainte Henri",1931-05-25,M,louis40@example.com,0238590777
